W WARNING: You specified different values for --load_checkpoint_dir and --save_checkpoint_dir, but you are running training and testing in a single invocation. The testing step will respect --load_checkpoint_dir, and thus WILL NOT TEST THE CHECKPOINT CREATED BY THE TRAINING STEP. Train and test in two separate invocations, specifying the correct --load_checkpoint_dir in both cases, or use the same location for loading and saving.
I Loading best validating checkpoint from pretrained/best_dev-732522
I Loading variable from checkpoint: beta1_power
I Loading variable from checkpoint: beta2_power
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam_1
I Loading variable from checkpoint: global_step
I Loading variable from checkpoint: layer_1/bias
I Loading variable from checkpoint: layer_1/weights
I Loading variable from checkpoint: layer_2/bias
I Loading variable from checkpoint: layer_2/weights
I Loading variable from checkpoint: layer_3/bias
I Loading variable from checkpoint: layer_3/weights
I Loading variable from checkpoint: layer_5/bias
I Loading variable from checkpoint: layer_5/weights
I Initializing variable: layer_6/bias
I Initializing variable: layer_6/bias/Adam
I Initializing variable: layer_6/bias/Adam_1
I Initializing variable: layer_6/weights
I Initializing variable: layer_6/weights/Adam
I Initializing variable: layer_6/weights/Adam_1
I Initializing variable: learning_rate
I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:21 | Steps: 129 | Loss: 84.073546
Epoch 0 |   Training | Elapsed Time: 0:00:21 | Steps: 130 | Loss: 84.146721
Epoch 0 |   Training | Elapsed Time: 0:00:21 | Steps: 131 | Loss: 84.216058
Epoch 0 |   Training | Elapsed Time: 0:00:21 | Steps: 132 | Loss: 84.328925
Epoch 0 |   Training | Elapsed Time: 0:00:21 | Steps: 133 | Loss: 84.408304
Epoch 0 |   Training | Elapsed Time: 0:00:22 | Steps: 134 | Loss: 84.421613
Epoch 0 |   Training | Elapsed Time: 0:00:22 | Steps: 135 | Loss: 84.476712
Epoch 0 |   Training | Elapsed Time: 0:00:22 | Steps: 136 | Loss: 84.532246
Epoch 0 |   Training | Elapsed Time: 0:00:22 | Steps: 137 | Loss: 84.550311
Epoch 0 |   Training | Elapsed Time: 0:00:22 | Steps: 138 | Loss: 84.610717
Epoch 0 |   Training | Elapsed Time: 0:00:22 | Steps: 139 | Loss: 84.647405
Epoch 0 |   Training | Elapsed Time: 0:00:23 | Steps: 140 | Loss: 84.791245
Epoch 0 |   Training | Elapsed Time: 0:00:23 | Steps: 141 | Loss: 84.960443
Epoch 0 |   Training | Elapsed Time: 0:00:23 | Steps: 142 | Loss: 84.999479
